pid,condition,time,mean,sd,n,sem,ci
1,neutral,1,0.07747167371199994,0.15011931765802292,10,0.047471896458968633,0.09304491705957851
1,neutral,201,0.056054422288767364,0.1737752010557008,10,0.05495254361897112,0.10770698549318339
1,neutral,401,0.06828284494034861,0.20520830164820336,10,0.06489256279832074,0.12718942308470865
1,neutral,601,0.11541073625055878,0.21309466129571317,10,0.06738644869165811,0.1320774394356499
1,neutral,801,0.18190877434813457,0.2004761798630921,10,0.0633961344976954,0.12425642361548299
1,neutral,1001,0.275869851010742,0.197436018026481,10,0.06243475091177423,0.12237211178707749
1,neutral,1201,0.34395766184285137,0.2217780080023041,10,0.07013236402223302,0.13745943348357673
1,neutral,1401,0.43181892948265693,0.23328776580584432,10,0.07377206901984142,0.14459325527888917
1,neutral,1601,0.5301972672082222,0.244616455863475,10,0.07735451536866313,0.15161485012257972
1,neutral,1801,0.6317283564971308,0.23439440019579885,10,0.07412201754077415,0.1452791543799173
1,neutral,2001,0.6870871516388737,0.24921114810202566,9,0.08307038270067522,0.16281795009332345
1,neutral,2201,0.7270260565615079,0.25003157523742664,10,0.07906692647100236,0.1549711758831646
1,neutral,2401,0.770879714839745,0.25370942350450143,10,0.08022996421224832,0.1572507298560067
1,neutral,2601,0.7897806613364604,0.26802273108069175,10,0.08475622949137886,0.16612220980310255
1,neutral,2801,0.7540938077840648,0.264158229168904,9,0.08805274305630134,0.17258337639035062
1,neutral,3001,0.7835632615525693,0.2594246137346899,9,0.08647487124489663,0.16949074763999739
1,neutral,3201,0.7997610437648552,0.24421034144141893,10,0.07722609071222912,0.15136313779596908
1,neutral,3401,0.8230819076992281,0.243343748957068,10,0.07695205010685585,0.15082601820943747
1,neutral,3601,0.8213678898353233,0.27291927880405104,10,0.0863046538391316,0.16915712152469795
1,neutral,3801,0.7834148300381724,0.31442588405115124,10,0.09943019489136486,0.1948831819870751
1,neutral,4001,0.7460101936956284,0.34143640122891356,10,0.10797167039744807,0.2116244739789982
1,neutral,4201,0.7532320265630796,0.31691094291207117,8,0.11204493838267417,0.21960807923004136
1,neutral,4401,0.8040420996411446,0.27626123141370473,9,0.09208707713790158,0.1804906711902871
